"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"gfkk","efkk","cejk","fekk","egkk","ggjk","hckk","ccjk",NA,NA,NA,NA,NA,NA,NA
"gfkk","cckj","fgkj","eekk","gejk","efkk","ifkk","fgjk","cckk","dckj","ccjk",NA,NA,NA,NA
"gfkk","hfjk","cekk","bekk","ffkj","fcjk","eckk","fckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","fdkk","hekk","iekk","ifkk","fgjk","cckk","fckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","cfjk","gfjk","dfkj","dfjk","dgkj","gfkj","fckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","ifjk","efkk","gckk","hckj","ecjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","igkk","gfjk","ickk","hfkj","cekk","ifkj","hckk","fckk",NA,NA,NA,NA,NA,NA
"gfkk","cfkj","efkj","ffkk","cgkk","dckj","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fdkk","gejk","efkk","dgkk","egjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","ickk","dfkk","ffkk","hckk","ecjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","igjk","hfkk","hekk","egkk","eekk","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","ifkj","igkk","dfkj","cckk","eckk","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cgkj","dckj","igkk","fgkj","eekk","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","ffjk","iekk","gdkk","hfkk","ffkk","gckj","fckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","fdkj","gekk","hfkk","cfkk","hfkj","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cekj","dekk","cfkk","eekk","gckk","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","hekj","cekk","hfkk","ickk","efjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cejk","hekk","hfkk","ggkj","ickk","ccjk","fckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","hgjk","dcjk","cgkk","ffkk","ffkj","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","dejk","dfkk","cckj","hckk","eckk","bckk","fckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","cejk","gekk","fekj","dekk","cekk","cfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","egkk","ifkj","hckk","eckk","gfkj","cfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","bfkk","gekk","hekk","hfkj","gckj","cfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","dfkj","dfjk","gfjk","dgjk","egkk","ggjk","cfkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","icjk","eckj","hfkk","fekk","ddjk","cfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fdkk","hekk","iekk","ifkk","efkk","cdkk","cfkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","hckj","ecjk","gckk","ffkk","cdkj","cfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","hcjk","ecjk","eckk","dfkk","ffkk","gckj","cfkk",NA,NA,NA,NA,NA,NA,NA
