"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"gckk","cdkk","cckj","bekk","gejk","igkj","hdjk","hekk","dgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dckk","bekj","egkj","bgkk","ggkk","gfjk","hfkj","dfkk","ickk","edkj","fejk","dgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","igjk","gckj","ddkj","ccjk","cekj","ggkk","gdkk","hgjk","dgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hdkj","hgkk","cekj","dfkk","ccjk","hekj","igkk","idkj","ecjk","dgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fdjk","cgjk","dfkk","ffkk","ggkk","ffjk","fdkk","gdkj","hekk","icjk","dgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dckj","gejk","hgkj","hdkj","fgkj","cfkk","bgkj","dgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","egkj","hckj","gfjk","eckj","fekk","ggkj","bgjk","dgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jdkk","igkk","hdjk","hgjk","gfkk","ffjk","efkk","bfkk","dgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","idjk","hckk","gfjk","igkj","eckk","bfjk","ffkk","fgkk","dgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eckj","cgkj","dbjj","ddkj","dfkk","cckj","bekk","gejk","igkj","dcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fdjk","cgjk","dfkk","ggkk","cekj","efjk","fgjk","dcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdjk","fgjk","cekj","dfkk","ccjk","bekk","gfjk","ggkj","idkk","dcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bejk","efkj","cbjj","ebjj","fckj","hdjk","ickk","fdkj","cgkk","dcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gejk","efjk","egkk","ffkk","hckk","hfjk","igkj","dcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eejk","hcjk","hdjk","hdkk","hgkj","gdkk","ggjk","dcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","iekk","efkk","ffkk","gckj","gcjk","ddkk","dgjk","dcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdjk","gfkj","cfjk","gfjk","gdkj","edkj","gckj","dcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bekj","efjk","fckj","edkj","ggkk","egjk","bgkk","cgkj","dcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","idkj","ecjk","eejk","cfjk","gfjk","ggkj","bgjk","cfkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hfik","ddkk","dgjk","ffkk","fcjk","eckj","cgkj","bdjk","cfkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eekk","dfkk","ggkk","egjk","bgkk","cgkj","dbjj","dckj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","egkk","bgkk","dfkk","gfkk","gfjk","eckj","fekk","gfkj","dckj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eekk","cfkj","cckj","idkj","hekk","ifkk","dcjk","eckj","fdkk","edkj","cdkj","gfjk","dckj",NA,NA,NA,NA,NA,NA,NA
"gckk","ggkj","egkk","fckk","eckj","cfjk","gfjk","cekj","gejk","bgkk","cgjk","dckj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bekj","ffkk","hckk","bckk","bfkk","cfkj","dfkk","dckj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gfkj","eckj","eekk","egkk","dcjk","bekk","gekj","hgkj","fcjk","dckj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fdkj","fcjk","eckj","gdjk","fdkk","hgkj","hdjk","hfkj","dckj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bejk","gekj","ggjk","cckj","iekk","jckk","hckk","cdkj","ecjj","dckj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fdkj","efkj","cbjj","ebjj","fckj","hdjk","hekj","igkk","gckj","ddkj","dfkk","cckj","bekk","ggkk","gdkk","hekk",NA,NA,NA,NA
"gckk","edkj","cdjk","gfkj","bckk","fekk","efjk","fgjk","cekj","gejk","bgkk","cgkj","dbjj","ebjj","fdkj","edkk","ifkk","idkk","eckk","gdjk","hekk"
"gckk","iekk","dgkk","ggkj","hdkk","edkk","cdjk","cekk","hekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cgjk","fckj","fcjk","eckj","bckk","hfkj","idkk","hekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fgjk","gckj","idkk","eckj","gdkk","ggkk","ccjk","hekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","efkk","bfkk","cfjk","cckk","hfkk","hckk","idjk","hekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkj","gfjk","egkk","ffkk","cfjk","dckj","bekk","hekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","igkj","idkk","hgjk","dfkk","dckj","fckj","cdkk","hekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cgkj","cgjk","dckj","bcjk","bekk","fekk","cfjk","dcjk","hdkj","hekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
